Title,Description
We need long-term budgeting to tackle climate change,"Perhaps the most important climate-related provision in the Budget was the assurance to create a taxonomy for climate finance. By defining and categorising investments based on their impact on mitigating climate change, this opens up a host of activities and projects to potential funding from green capital 
"
CBDT consolidates review process with single order covering six assessment years,"""The searches conducted from September 1, 2024 onwards will follow this new amendment in the Income Tax Act."" 
"
"Formal employment picks up in May; new subscribers to EPF, ESIC rise","Subscriptions to the Employees’ State Insurance Scheme, which caters to relatively lower paid employees, jumped 40 percent to 1.7 million 
"
Black Money Act amendment to remove penalty on non-disclosure of foreign assets worth Rs 20 lakh,"Currently under the Act even if the taxpayers fail to disclose a foreign asset worth Rs 5 lakh, they have to pay a Rs 10 lakh penalty on it. 
"
IN-SPACe invites industry to build and manage satellite system under PPP model,"Through the proposal, IN-SPACe is looking at Indian companies to design, build, and establish constellation of satellites in Low Earth Orbit having a combination of sensors including panchromatic, multispectral, hyperspectral and microwave. 
"
Labour and skill ministries' spend to double from previous decade,"A major boost is expected to go towards skill development, where spending over the next half a decade is expected to 5.2 times higher than what was spent between FY16 and FY24 
"
As many as 4.6 crore income tax returns filed so far in AY2024-25: CBDT Chairman,"'We are aware of the glitches on the income tax portal. We are talking to our vendors to ensure that the portal is able to handle the additional volumes of return filing,' Central Board of Direct Taxes Chairman Ravi Agarwal told Moneycontrol in an interview. 
"
"Moneycontrol Pro Panorama | Nasdaq rout, a wake-up call?","In this edition of Moneycontrol Pro Panorama: IT services sector is yet to see broad-based recovery, government bonds are on an uptrend, infrastructure FDI equity inflows on the up, Budget 2024 has something for everyone, and more 
"
Govt focused on becoming a more privatised economy: DIPAM Secretary on PSE policy timeline,"Timeline of PSE policy has been moved up. Green initiatives by public companies can lead to IPOs by their subsidiaries if they reach a certain size 
"
PSU mergers overhyped; HR issues will lead to problems: DIPAM Secretary Tuhin Kanta Pandey,"Mergers in the PSU space come with human resource management issues, in many cases, notes Pandey, it could lead to insurmountable problems. 
"
Indian banks selling retail loan portfolios as deposits lag,"India’s largest lender, HDFC Bank Ltd., sold a 50 billion rupee ($597 million) loan portfolio to an undisclosed buyer in June, Chief Financial Officer Srinivasan Vaidyanathan said in a post-earnings media call last week. 
"
Sugar industry body proposes bio-refinery transition plan to govt,"The representatives of the Indian Sugar & Bio-Energy Manufacturers Association (ISMA) met with Food Minister Pralhad Joshi to discuss a policy framework for the transition, which would expand beyond current ethanol, bioelectricity, and biogas production, a statement said. 
"
Foreigners sell nearly $1 billion in Indian equities in two days since budget,"Foreign portfolio investors (FPIs) net sold shares worth 81.06 billion rupees ($968 million) on Tuesday and Wednesday, provisional data from the National Stock Exchange showed. 
"
Funding surge for blank cheque companies points to Spac bounceback,"An investing class left for dead after early excesses and poor performance shows signs of life 
"
"Inflation, stock prices, and french fries","A pandemic story 
"
"RBI may prefer mild rupee weakness to correct overvaluation, BofA says","""It supports the government's ambitions for attracting large-scale manufacturing investments,"" the Wall Street firm said, adding it expects the rupee to decline to 84 to the U.S. dollar by the end of the year. 
"
"India mulls easier norms for FPIs to take the FDI route, says DEA Secretary","Another area, where the government may consider easier norms pertains to making it smoother for Indian companies with larger overseas investments to invest back into the country. 
"
India’s SMEs need a comprehensive policy beyond budgetary finance to go global,"India needs to put in place a holistic policy for SMEs 
"
India says it plans to simplify GST rate regime in coming months,"“Too many rates in goods and services tax are leading to classification disputes and that needs to be resolved,” Sanjay Agarwal, chairman of the Central Board of Indirect Taxes and Customs said in an interview Wednesday. 
"
Revenue secretary rules out a rethink on LTCG as 'marginal' hike in levy is justified,"""This LTCG increase will impact only the people with higher income as per our study,” Sanjay Malhotra told Moneycontrol in an interview. 
"
"Discussion paper on crypto policy likely before Sept, says DEA secretary","The rationale behind the discussion paper is to seek comments and views from relevant stakeholders on the ideas outlined in it. This paper will also contain suggestions on the remit of regulations for cryptocurrencies in India, added Economic Affairs Secretary Ajay Seth. 
"
Direct tax relief for middle class in Budget 2024 is ‘sufficient’: Revenue Secy,"Budget 2024 has given relief of Rs 17,500 this year in direct tax. In last year's Union Budget, the government had reduced the number of tax slabs, and adjusted the rebate limit in the new tax regime to Rs 7 lakh. 
"
Data Innovation Lab announced by ministry of statistics and programme implementation to improve stats quality,"Guidelines open door for creating sandboxing environment via outsourcing 
"
"GST buoyancy expected to decline, but will stay above one, says CBIC Chairman","The ministry has set a target of increasing GST collections by 11 percent in FY25, against a GDP growth of 10.5 percent. 
"
"12.5% LTCG is low compared to global standards, says Finance Secretary Somanathan","The long-term capital gains tax is now a uniform rate of 12.5 percent without indexation for all asset classes. The holding period for eligibility has been standardized to one year for all listed assets and two years for non-listed assets, the finance secretary said. 
"
"Budget nudges growth in the immediate term, opens pathways for new reforms  ","Budget has set the ball rolling on new policy pitches that take cognisance of new areas that may require support to ensure resilient, sustainable and more equitable growth 
"
"For key infrastructure sectors, the Union Budget 2024 is par for the course","The Union Budget 2024 did not provide a road map for attracting private-sector investments but the focus on skilling programme and creation of 1,000 Industrial Training Institutes will aid the infrastructure sector, as skilled labourers will be available locally. 
"
"Finally, getting down to the brass tacks in a budget","Slow creation of formal jobs has been India’s primary economic weakness. Addressing it was the budget’s underlying focus. Jobs will be the theme that will reverberate over the next five years  
"
"Govt employee count rises for first time since FY19, spending per head also on the up","The average pay per government employee is, however, expected to drop, ending eight years of annual increases 
"
Moneycontrol Pro Panorama | No country for Indian traders,"On Moneycontrol Pro Panorama's July 24 edition: Budget's big promise on fiscal prudence and jobs, auto sector misses out in this budget, Digital initiative, financial inclusion and MSME took centre stage, startups breathe easy as angel tax is scrapped, and more 
"
Rupee falls 1 paisa to revisit all-time low of 83.70 against US dollar,"Forex traders said the increase in capital gains tax and removal of indexation benefits announced in the FY25 Budget on Tuesday was the main reason for dollar buying as foreign investors sold stocks 
"
"Budget signals shift in infra strategy as govt pushes states, private sector to pitch in","Infrastructure sector veteran Vinayak Chatterjee told Moneycontrol in an interview that the government is changing its infrastructure investment strategy from a top-down to a bottom-up approach. He flagged apprehensions that the new strategy may take time to play out. 
"
India budget extends economic momentum to social equity,"The budget carries a futuristic tone, as it sets up the roadmap for long-term vision of developed economy. It has also laid the foundation to bring inclusive and sustainable growth trajectory 
"
"India may cut borrowing if small saving inflows are high, says official","NSSF consists of public investments in schemes like postal deposits, savings certificates, public provident fund and senior citizens' savings scheme, among others 
"
What did India search for on the Budget Day?,"Karnataka, Haryana were more interested in knowing about the new tax regime, Andhra searched for gold 
"
Mohamed El-Erian: Why I am now optimistic that economies can break out of a rut,"For the first time in two decades, the potential for a step up in western growth is real and promising 
"
"India needs to sell assets to support spending, JPMorgan says","Prime Minister Narendra Modi, who returned to power last month with a weaker mandate, is under pressure to spend more to shore up voter support and meet the demands of his coalition partners. 
"
"July Flash PMI signals strong growth, higher inflation","Selling prices rose to the greatest extent since February 2013 
"
Gold import surge under FTAs prompts duty cut in Budget: CBIC chairman,"""During the period that the import duty on gold had gone up, we noticed that gold imports under certain Free Trade Agreements (FTAs) had gone up. In addition to that, smuggling was on a rise."" 
"
Private sector activity rises to three-month high of 61.4 in July: PMI data,"Private sector activity had picked up in June from a five-month low of 60.5 in May 
"
"Budget 2024 outlines roadmap for 'Viksit Bharat', focus on poor, women, youth and farmers","The Budget unveils government’s plan for 'Viksit Bharat' placing significant emphasis on job creation and skill enhancement as its focal points, structured around four key pillars  
"
CBIC chief says it's hard to correct inverted customs duty due to FTA exemptions,"Under customs, inverted duty structure is seen for several items including leather and textiles and engineering goods. 
"
"Digital initiative, financial inclusion and MSME troika takes centre stage for Budget 2024","The Budget announcements on DFM will bolster the efforts of the financial sector to support India's economic growth. This budget is expected to set the agenda for the next five years and provide a framework for regulators, financial institutions and market participants 
"
"Indexation benefit of LTCG tax in real estate only marginally covered inflation costs, says CBDT chief","The removal of indexation benefits will not be applicable to old properties held before 2001, and they will continue to get indexation benefits. 
"
"Budget adopts an ‘optimal approach’ in tax slab rejig, says CBDT chairman","While the tax slabs were rejigged for the new tax regime, the old tax regime rates were left untouched in the Budget 
"
Deficit targets achievable; sustained fiscal consolidation must for upgrades: Rating agencies,"Economists have been contending that the government adhering to fiscal path will lead to a ratings upgrade by one of the three global ratings concerned within the next 18-24 months 
"
Finance Secretary TV Somanathan confident nominal GDP growth is unlikely to be below 10.5%,"Finance Minister kept the nominal growth target unchanged at 10.5% for 2024-25, finance secretary, TV Somanathan in an interview to Moneycontrol said he expects real growth between 6.5-7 % for FY 25 
"
"Economists laud Budget’s fiscal prudence, say opens path to ratings upgrade","India can fill the vacuum left by China if it emulates the strategy of double digit infra investment 
"
A credible math makes for a convincing fiscal consolidation in the Union Budget,"Assumptions on nominal GDP growth and revenue mop-up look realistic given the economic momentum 
"
FM builds on Economic Surveys data approach in Budget,"Budget bats for integration of databases 
"
"Amid push for Employment Linked Incentive schemes, PLI allocations double in FY25","Allocations to production linked incentive schemes in FY25 rose to nearly Rs 12,500 crore 
"
Budget's duty reduction on leather imports to boost demand,"Footwear prices should come down by 5 percent following the Budget move 
"
Where is India’s capex going?,"Five ministries will corner over 90 percent of capex jump 
"
"A Game-Changer Budget: Angel tax axed, MSMEs empowered","Budget 2024 achieves the monumental task of pointing the Indian economy in the right direction and offers many specific initiatives to propel us towards our collective destiny of a Viksit Bharat 
"
"Budget 2024: Privatisation of PSUs will happen but best time to be decided, says FM","FM Sitharaman said that the PSUs have been giving high dividends on account of good growth 
"
This pharma stock gets the Budget tonic,"The scrapping of customs duty will make cancer drugs of AstraZeneca affordable 
"
"Budget 2024 message - Modi has heard voters, NDA 3.0 is on the ‘job’","The announcements in Budget 2024 points to BJP-led NDA taking a major step in focusing on the employment challenge. The message from the Centre is clear, it has heard the voters 
"
"No pandering, smart adjustments and boosting urban redevelopment are budget’s highlights","Sticking to fiscal consolidation will help draw in private investment. To complement it, Budget 2024 could have resorted to ambitious privatisation and easing compliance burden  
"
Implications of Budget 2024 announcements on indirect taxes,"Budget 2024 has implemented the recommendations by the GST council by bringing in changes in the finance act. The measures will boost manufacturing sector in India and improve ease of doing business 
"
Why is the Budget seeking to dampen a growing equity cult?,"While the budget did not have any path breaking announcements, tweaks to the capital gains regime will hurt equity investors but could benefit investors in real estate and gold 
"
Budget's tax cut benefit overshadowed by indexation losses,"The Union Budget’s move could affect investment decisions in the real estate sector. 
"
Startups and VCs cheer the 'Reform and Rationalize' Budget,"Budget 2024-25: With this move PM Modi is being hailed as the 'Startup PM of India'. These changes will fuel startup fundraising and ensure that startups lead the charge. 
"
On the way to fiscal consolidation. Will rating upgrade follow?,"Budget 2024: The Finance Minister's approach is like an all-rounder in cricket. It steers the economy towards a possible sovereign rating upgrade, much like winning a championship. 
"
"Jewellery stocks jump 14% after govt cuts basic custom duty on gold, silver","The scrip of Tribhovandas Bhimji Zaveri surged 13.86 per cent to close at Rs 155.30 apiece, Titan Company zoomed 6.63 per cent to Rs 3,468.15, Rajesh Exports rallied 6.32 per cent to finish at Rs 316.35 on the BSE 
"
"Budgeting for the future, while maintaining fiscal prudence","This year's Union Budget focused on the growth of the informal sector; from skill enhancement for youth, credit flow to MSMEs, to income enhancement measures for the rural sector. Here's what the budget had to offer the financial sector 
"
Why this infrastructure stock is a big beneficiary of Union Budget 2024,"The central government commits funds to develop the eastern region with focus on Andhra and Bihar 
"
A push towards ‘Atmanirbhar Bharat’ in Budget 2024,"Lowering customs duty for specific products in the budget is carefully designed approach to promote domestic manufacturing   
"
What government earns and where does it spend?,"The reliance on borrowings and other liabilities has also reduced in FY25 
"
Budget 2024 changes will boost GIFT City IFSC’s growth trajectory,"This year's budget has put retail Schemes and ETFs in IFSC under the same tax regime as Category IIII IFSC AIFs which spells good news for the fund management ecosystem as it will attract more global fund managers 
"
Renewed focus on agriculture sector in the Budget to support rural economy,"The Union Budget 2024-25 has stepped up allocations for agriculture and rural development but could have done more in certain areas 
"
Fiscal prudence continues: Budget 2024 in 10 charts,"Fiscal deficit target set at 4.9 percent for FY25, lower than 5.1 percent in the interim budget 
"
Near-term consumption kicker in Budget 2024,"Budget 2024-25: Fiscal benefits for creating new jobs and changes in the new income tax regime will put more money in the hands of a demographic with high propensity to consume  
"
"No major consumption boost in Budget, but Street remains optimistic","The Budget 2024 did not contain measures that could directly benefit consumer demand, preferring to invest in building blocks that could lead to future consumption opportunities 
"
"Ratio of defence capex spending climbs a decadal high in FY25, shows Budget data","The government has set an ambitious target to more than triple defence production to Rs 3 lakh crore by FY29 and increase exports to Rs 50,000 crore 
"
No increase for PM-Kisan in Budget 2024,"Overall outlay under the Pradhan Mantri Kisan Samman Nidhi programme increased xx percent compared with Rs 60,000 crore allocation under the interim budget and just over Rs 58,000 crore in FY24. 
"
"Rs 1,000-crore VC fund for space economy will give boost to entrepreneurs, pvt players: IN-SPACe chairman Pawan Goenka","Finance Minister Nirmala Sitharaman announced the Rs 1,000 crore VC fund for space economy with the objective of expanding the ecosystem by 5 times in the next 10 years 
"
"MGNREGA gets Rs 86,000 crore for FY25","The allocation is a xx percent drop from the over Rs 90,000 crore the government had spent on the programme in the previous year 
"
"MGNREGA gets a higher outlay of Rs 86,000 crore in Budget 2024-25","The flagship scheme for rural employment, MGNREGA has been allocated Rs86,000 cr , up from budget estimates of Rs 60,000 cr in 2023-24, same as the interim budget 
"
"Budget keeps allocations for PM Kisan, Fasal Bima schemes unchanged despite focus on farm growth","Farm focused budget skips on increasing cash transfers to farmers 
"
"From credit support to more Mudra loans, Budget 2024 bats for MSMEs","The Budget provides special attention to MSMEs and manufacturing, particularly labour-intensive manufacturing, Nirmala Sitharaman said 
"
"FM announces increase in monetary limit for filing tax litigation in tribunals, courts","As a result of the increase, the government cannot pursue tax litigation if the amount in dispute is below the monetary limit. 
"
"MeitY receives 52% boost in 2024-25 Budget outlay at Rs 21,936 crore","The majority of the increased allocation for MeitY is reflected in the expanded production-linked incentive (PLI) schemes for both semiconductors and large-scale electronics manufacturing and IT hardware. 
"
"Customs duty relief for mobile phone, chargers: Check out other measures","The Customs Duty structure will be put to comprehensive review over next six months to rationalise it and remove duty inversion, FM said in the Budget speech. 
"
"Nirmala Sitharaman announces Rs 1,000-crore VC fund in a boost for space economy","Space tech startups such as Pixxel Space and Agnikul Cosmos have lauded the announcement saying that the fund will help larger players emerge out of India's space ecosystem 
"
"Budget rolls out farm priorities - natural farming, push for digital land records","Govt will develop a digital public infrastructure for agriculture in partnership with States, to integrate 6 crore farmers and their land into a digital registry. 
"
Nirmala Sitharaman announces implementation of DPI for agriculture over next 3 years in Budget 2024,"As part of the project--namely Agri Stack--the government plans to conduct digital crop survey in 400 districts this year, bringing over 6 crore farmers into the formal Farmer Registry System. 
"
Nirmala Sitharaman announces e-commerce export hubs in Budget 2024,"According to industry experts, in such hubs, export clearances can be facilitated. Besides, it can also have warehousing facilities, customs clearance, returns processing, labelling, testing and repackaging. 
"
Budget 2024:Gender Budget reaches highest level since FY11,"Govt to spend over Rs 3 lakh crore on gender budget for the first time, marking an xx percent increase over the previous year 
"
Key government schemes to watch out for in Budget 2024,"Budget 2024 Schemes:Agriculture output was a tepid 1.4 percent in FY24 compared with 4.7 percent in the previous year, even as the economy roared with 8.2 percent growth 
"
"Budget could see lower fiscal deficit target, helped by RBI's dividend bonanza, say experts","A smaller fiscal deficit can allow Centre to keep its borrowing target unchanged at Rs 14 lakh crore this fiscal year. 
"
Payments companies expect higher UPI subsidies in Budget,"In May, UPI set another record as it processed more than 14 billion transactions worth Rs 20.45 lakh crore or Rs 20.45 trillion, according to data issued by the National Payments Corporation of India (NPCI). 
"
"India to ease borrowing, investment rules for state firms","Prime Minister Narendra Modi wants to make it easier for these firms to diversify into new markets and boost manufacturing, thereby helping him create jobs and lower imports, the people said, asking not to be identified before a formal announcement 
"
"Interview: Identify sectors that can boost Indian exports with Chinese FDI, says CEA Nageswaran","Weighing in on falling FDI flows into the country, the chief economic adviser said that this decline is not a sign of decreasing interests among investors. 
"
FM Sitharaman to present full Budget on Tuesday as Modi 3.0 aims to strike the right balance,"Sitharaman will present the Union Budget at 11 am in the Parliament. This will be her 7th Union Budget. 
"
Wall St picks up after sell-off as investors weigh Biden exit effect; Nasdaq rises 1%,"The S&P 500 opened higher by 39.54 points, or 0.72%, at 5,544.54, while the Nasdaq Composite gained 196.71 points, or 1.11%, to 17,923.65 at the opening bell 
"
"Gold rises Rs 100 to Rs 75,650 per 10 grams amid firm global cues","In the previous session, it had settled at Rs 91,600 per kg, as per the All India Sarafa Association. 
"
Statistics quality an underlying theme of the survey,"State-level variants of indices like IIP will help understand the emerging geographical patterns, according to Economic Survey 2024. 
"
Understanding India from the Economic Survey 2023-24,"Here are some highlights from the survey on India’s macro economy, capital expenditure, state finances, jobs, welfare, education and health 
"
Agricultural sector likely to perform better in FY25: CEA,"The Indian Meteorological Department had forecast that India is set to receive above-normal monsoon rains this year. The monsoon is, however, not progressing as the IMD predicted before the monsoon season began. 
"
No need to raise capital gains tax for now,"It could hit emerging equity culture, hurt foreign inflows. The government should hold its hand at this stage of the development of Indian stock markets and economy 
"
"Economic Survey in 10 charts: Stability, inclusivity central to 2047 Viksit Bharat vision","It also stressed the need to sustain structural reform momentum to accelerate growth to more than 7% in the longer term. 
"
Moneycontrol Pro Panorama | Metal companies look East for relief,"In this edition of Moneycontrol Pro Panorama: India’s corporate tax rate is now closer to global peers, Budget announcements investors can look at, lessons from Karnataka’s idea to bring on job quota, and more 
"
"Too much Instagram and fries could choke India's economic growth, says Economic Survey","Highlighting the health and commercial benefits of traditional Indian lifestyles, the survey advocated that businesses adopt and promote these practices globally to boost their market leadership and profitability 
"
"FY25 GDP growth estimate at 6.5-7% is prudent, not pessimistic: CEA","We would rather be pleasantly surprised than be forced to face disappointment which is why we are projecting a GDP growth rate of 6.5-7 percent, said the CEA. 
"
"Why a populist Budget won’t be bad, after all","A populist budget helps the incumbent government to gain back the reduced confidence and ensure continuity with stronger confidence. 
"
Consumer price index base to be revised to 2024; producer price index to be expedited,"WPI, CPI estimates are over a decade old 
"
"Uncertainty in job sector, impact on environment: Five important points that Economic Survey makes on AI","While referring to studies, the Economic Survey 2023-2024 said that artificial intelligence is likely to restrain growth for business services progressively and, therefore, may pose a challenge to long-term sustainability and job creation 
"
"Economic Survey projects conservative growth forecast for FY25, but leaves jobs and private investment puzzle unanswered","India’s GDP level is at the pre-pandemic trajectory, the Economic Survey reveals. It means that the speed of the GDP expansion has ensured no permanent loss in output and demand. Though, employment remains a crucial link between growth and prosperity 
"
Hong Kong to launch Asia's first inverse bitcoin ETF,"Hong Kong's CSOP Asset Management said it will launch the CSOP Bitcoin Futures Daily (-1x) Inverse Product on the city's stock exchange on Tuesday morning 
"
Rupee rises 3 paise to close at 83.67 against US dollar,"Forex traders said the Indian rupee recovered from all-time low levels and traded in a narrow range as mixed-to-weak domestic markets put downside pressure on the rupee 
"
Tackling Climate Change: The real issue lies in finding the money,"The moot question that emerges from the Economic Survey 2023-24's assessment of India's fight against climate change is how soon and how effectively the government can address the challenges of reducing emissions 
"
Capital Gains Tax: Why fix something that ain’t broke,"The twin advantages of capital formation, employment of private capital for longer term usage is a needed measure for the government to see a lighter load on itself to provide the same. 
"
Energy needs to grow 2.5 times but green power faces hurdles: Economic Survey 2023-24,"The Economic Survey 2023-24 flags some challenges that India faces in scaling up its renewable energy capacity 
"
India needs to face up to its junk food crisis,"If officials don’t want diseases like diabetes to spiral out of control, they need to tell consumers just how unhealthy their packaged snacks are 
"
"India needs to upgrade IIP, other industry statistics to aid policy making","State level variants of various indices will help understanding the emerging geographical patterns, the Economic Survey has said   
"
Economic Survey 2023-24 has the right prescription for coal power plants,"The focus should be on adoption of cleaner coal and ultra super-critical technologies to reduce emissions, suggests the Economic Survey 
"
India in middle of private capex upcycle aided by government push,"Citing Axis Bank Research data, the survey said private investment across a consistent set of over 3,200 listed and unlisted non-financial firms grew 19.8 percent in FY24 
"
"Economic Survey shows rise in foreign tourists in India, indicates revival in tourism","The tourism sector in India is rapidly expanding, with India being ranked 39th in the World Economic Forum's Travel and Tourism Development Index 2024 
"
Economic Survey 2023-24: Here are the key highlights,"FM Sitharaman is scheduled to present the Union Budget for 2024-25 in the Lok Sabha on July 23. This marks the first Budget of the Modi Government's third consecutive term in office. 
"
"Draft deep tech startup policy to address funding, infrastructure constraints","The draft National Deep Tech Startup Policy (NDTSP) was released for stakeholders’ comments in July last 
"
India to seek licences to scout Pacific Ocean for critical minerals,"The UN-backed International Seabed Authority (ISA) has issued 31 deep-sea exploration licences, including two for India in the Indian Ocean, but is yet to allow mining because the 36-member body is still working on regulations. 
"
"Economic Survey sets balanced tone; India on track to be developed economy, says Niti Aayog’s Suman Bery","Suman Bery said consistent long-term average growth rate of approximately 6% reflected significant supply-side developments 
"
"Economic Survey flags lack of demand, indigenous tech, competitive market in India's space sector","The Economic Survey 2024 said that there is a technological gap when it came to development of indigenous carbon fibres, dedicated captive semiconductor fab for space applications and so on 
"
"Steep interest rates, uncertain tax policy may limit FDI flows into India: Economic Survey","While, highlighting the downsides of FDI inflows into India going ahead, the survey did mention that the moderate fall in gross terms shows that investor sentiment towards the country remains unchanged. 
"
"India has created 21 SaaS unicorns since 2014, per Eco Survey 2024","The Indian SaaS industry is poised to grow by 2.5X to reach a revenue if $26 billion by the end of 2026, a recent report said 
"
"Hiring in IT sector unlikely to pick up significantly, says Economic Survey","The Economic Survey 2023-24 said exports of business, consultancy, and IT-enabled services can expand by leveraging the initiatives taken by the Central government 
"
Private capital formation slows down amid caution over cheaper imports: Economic Survey,"With healthy balance sheets, banking and financial sector was well poised to cater to growing financing needs 
"
"E-KYC cost down from Rs 1,000 to less than Rs 6: Economic survey 2024","KYC is one of the most vital process for financial institutions and businesses to get information like identity, addresses, phone numbers etc. of customers. 
"
Economic Survey nudges states to speed up implementation of labour codes,"The survey identifies higher overtime wage premiums and barriers to job opportunities for women as hurdles in way of employment generation 
"
Prioritising a stable and simple tax regime in Budget 2024 to enhance ease of doing business,"According to a Deloitte Survey, many industry leaders anticipate a stable and simplified tax law to enhance the ease of doing business and support India’s growth trajectory. A stable tax policy is crucial for sustainable business expansion and increased foreign investments  
"
"Around 77 % companies liquidated under IBC were already defunct, says Economic Survey","The survey revealed that the eight years since it was introduced in 2016, 31,394 corporate debtors involving a value of Rs 13.9 lakh crore have been disposed of (including pre-admission case disposals) as of March 2024. 
"
PLI scheme expansion will help lower trade deficit,"India’s current account deficit reduced to 0.7 percent of the GDP in FY24, from 2 percent in the previous year, the Economic Survey said 
"
India must strike right balance in goods and capital imports from China: Economic Survey 2023-24,"India slipped seven ranks to 15 in the World Investment Ranking in 2023 
"
"Short-term inflation outlook benign, says Economic Survey","The central bank expects headline inflation to be 4.5 per cent in FY25 and 4.1 per cent in FY26, the survey says 
"
"India needs to add 7.9 million jobs annually till 2030, says Economic Survey 2023-24","The total additions to the workforce at 46.7 million in 2023-24 were the highest since 1981-82, with the rate of growth at 6 percent also outpacing the previous three decades 
"
Digital paralysis shows the dangers of e-globalisation,"Rather than anything more malicious, the trigger for the cyber failure seems to have been a prosaic software update 
"
Budget Snapshot: India’s effective corporate tax rate is now closer to global peers,"While the 2019 corporate tax cuts did make India’s effective tax rate more competitive, there are still countries with much lower tax rates 
"
Understanding the origins of Modi government’s economic philosophy ahead of Budget 2024-25,"One of the fundamental beliefs of the Modi government has been to make India self-reliant. It has worked tirelessly in that direction and the continuation of ‘Aatmanirbhar Bharat’ policy in this year’s Budget is highly likely 
"
"In Budget 2024, government should help accelerate capacity additions in power sector","The pace of capacity addition needs to be ramped up to meet the rising electricity needs of the country 
"
MC Daily Monsoon Tracker: Rainfall deficit narrows further to 1%,"Ten states faced deficient rainfall conditions, 16 have got normal rainfall until July 21 
"
"Economic Survey to be presented on Monday, a day before Budget; check timings, other details","The Economy Survey document may also give some idea about the tone and texture of the actual Budget for 2024-25, to be presented on Tuesday. 
"
“Data Is Untenable” Says ICMR DG Dr Rajiv Bahl | Numbers Includes All Death Not Covid Deaths Alone,"On the government rejecting the findings of an international study which shows 11.8 lakh excess deaths in the COVID pandemic in India, ICMR DG Dr Rajiv Bahl said the study's ""excess mortality"" figure includes deaths from all causes, not just COVID-19. He disputes the study's findings, emphasizing that India's official data collection system is reliable and comprehensive, and should be considered authoritative. 
"
MC Daily Monsoon Tracker: Rainfall deficit narrows to lowest level in 10 days,"India’s rainfall deficit fell to lowest level in 10 days, but eastern and north-western parts of the country continue to suffer 
"
Moneycontrol Pro Weekender | High Hopes,"This is not a time for balance, it's a time to be bold, a time of dreaming big, of seizing India's moment 
"
Fiscal Deficit: Go easy or pull back? What markets are likely to reward,"The Government of India (GOI) has been able to walk the path of fiscal prudence and trim fiscal deficit from 9.3 percent in FY21 to 5.1 percent for FY25 (as per vote on account). 
"
"Union Budget: Govt to strike a balance between fiscal deficit, capex for growth, social spending","The continuation of the existing capex agenda (infrastructure, railways, defence, renewable/clean energy), higher budgetary allocation to revive rural economy, job creation and a firm roadmap for 'Viksit Bharat' by 2047 would be the key theme for the Union Budget 2024-25. 
"
I-T portal remains insulated against impact of Microsoft outage,"One of the world's major global system outages disrupted airline operations, stock markets activities, some media broadcast operations and payment gateways across time zones, on July 19. 
"
MOSPI reconstitutes committee to advise on price index revisions,"At present, the base year and basket of goods considered by India is over a decade old, with both CPI and WPI following 2012 as the base year 
"
"Fruits and vegetables, processed cereal exports jump 9% in Q1FY25","APEDA looking at 25 focus products to boost trade 
"
"Economic Survey preview: Watch for GDP growth forecast, comments on food inflation, climate strategies","The survey will outline the key economic metrics of the country, most notably the forecast for real GDP growth for the ongoing financial year. 
"
Business sentiment sees further improvement in first quarter of FY25: NCAER-NSE Survey,"Firms reporting optimal capacity utilisation jumped to 98 percent, the survey found. 
"
Portal to address non-tariff issues within 2-3 months: Commerce ministry,"Taskforce will look at resolution strategy of issues arising for Indian exporters 
"
"The Reading List: July 19, 2024","A list of articles and social media gems from the world of economy, business and finance curated by our research and opinion teams for you to catch up on the weekend 
"
Moneycontrol Pro Panorama | A rate of debate,"In this edition of Moneycontrol Pro Panorama: Will Indian pharma recover soon?, what are the potential market movers this budget, India upping its stakes on global value chain, focus on manufacturing boom through tax incentives, and more 
"
"Spatial spread of monsoon needs to correct for food inflation to cool, say economists","Rajasthan pulses sowing down 4 percent from normal, rice sowing lowest in UP compared with normal, according to agriculture ministry data 
"
India digital public infrastructure is charting the journey towards becoming $1-tn digital economy by 2027-28,"The country has leapfrogged the world to become the leader in connectivity, bypassing the fixed-line era almost entirely, and is unparalleled in the digital payments universe. 
"
India Budget 2024: Capital gain tax regime is too cluttered. It needs an overhaul,"As the Indian economy grows globally, it has added to the complexity of computing capital gains. It has in turn led to disparity on account of rate of tax, benefits of indexation or foreign currency fluctuation among other issues. Hoping Budget 2024 provides solutions to this 
"
What will be Economic Survey’s outlook on growth?,"IMF recently revised India’s growth forecast to 7 percent from 6.8 percent projected earlier 
"
Charting The Future: Chief Economic Advisor V Anantha Nageswaran,"The CEA has also been vocal on global issues such as climate finance and the assessment methodologies used by global ratings agencies for emerging markets like India. 
"
Union Budget 2024-25 to balance investment and consumption,"Budget 2024-25 could focus on measures that boost demand to help support the capex cycle. A relief on personal income taxes would boost consumption, especially for the low- and middle-income households who have been hit with high food inflation 
"
"Nobody expects RBI to be cheerleader, coordination with govt helped fast revival in economy: Guv Das","Speaking at an event organised by Financial Express here, the bureaucrat-turned-central banker said nobody has expected him to be a cheerleader for the government during his term. 
"
Union Budget 2024 expected to focus on India’s manufacturing boom through tax incentives,"India needs to present itself as the next big manufacturing hub and to that effect its essential that the tax structure should be stable and simpler 
"
"Boosting Agricultural Exports: Budgeting for infrastructure, high-value crops, and ag-tech","India has to address its domestic needs and also intensify its efforts on boosting agricultural exports. As India prepares for its upcoming budget, a prime opportunity emerges to elevate its agricultural exports to new heights 
"
